target,smooth_score,outlier_score
TIC 85459171,1.0019772,0.1115715
EPIC 201182911,0.95643747,0.08792022
TIC 412828754,1.0973542,0.06805908
TIC 119131709,0.9455979,0.0442868
EPIC 205489894,0.9171698,0.03545162
TIC 50575306,0.9752532,0.03325745
HIP 54766,0.9403577,0.03284683
TIC 177612321,1.0729016,0.03170089
EPIC 247281516,0.94558495,0.03081968
TIC 5592720,0.9366224,0.03030619
KIC 10015516,0.91600704,0.02649286
EPIC 211738534,1.1271552,0.0264573
TIC 22560356,1.0095346,0.02230827
KIC 2708156,0.9223468,0.0140081
EPIC 203042994,0.96217906,0.01276873
EPIC 249649721,0.926942,0.01256233
KIC 9641031,0.9379699,0.01180361
TIC 302477411,0.9168802,0.00869482
KIC 10156064,0.92517453,0.00665302
KIC 10920813,0.9158894,0.00298898
